name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Neltec NX9300(IM) (tm),,,,,,,,3,,Neltec NX9300(IM) (tm),,,,Conductor,
Neltec NX9320(IM) (tm),,,,,,,,3.2,,Neltec NX9320(IM) (tm),,,,Conductor,
Neltec NY9208(IM) (tm),,,,,,,,2.08,,Neltec NY9208(IM) (tm),,,,Conductor,
Neltec NY9217(IM) (tm),,,,,,,,2.17,,Neltec NY9217(IM) (tm),,,,Conductor,
Neltec NY9220(IM) (tm),,,,,,,,2.2,,Neltec NY9220(IM) (tm),,,,Conductor,
Neltec NY9233(IM) (tm),,,,,,,,2.33,,Neltec NY9233(IM) (tm),,,,Conductor,
Neltec NY9250(IM) (tm),,,,,,,,2.5,,Neltec NY9250(IM) (tm),,,,Conductor,
Neltec NY9255(IM) (tm),,,,,,,,2.55,,Neltec NY9255(IM) (tm),,,,Conductor,
Neltec NY9260(IM) (tm),,,,,,,,2.6,,Neltec NY9260(IM) (tm),,,,Conductor,
Ni-Inconel,,,,,,,,,,Ni-Inconel,,,,Conductor,
Ni-Inconel-cast,,,,,,,,,,Ni-Inconel-cast,,,,Conductor,
Ni-Monel,,,,,,,,,,Ni-Monel,,,,Conductor,
Ni-Monel-cast,,,,,,,,,,Ni-Monel-cast,,,,Conductor,
Ni-Pure,,,,,,,,,,Ni-Pure,,,,Conductor,
Ni-Pure_Ref,,,,,,,,,,Ni-Pure_Ref,,,,Conductor,
Nitrogen,,,,,,,,,,Nitrogen,,,,Conductor,
Nitrogen(@300K),,,,,,,,,,Nitrogen(@300K),,,,Conductor,
Nylon-Nylon-6,,,,,,,,,,Nylon-Nylon-6,,,,Conductor,
Nylon-Nylon-66,,,,,,,,,,Nylon-Nylon-66,,,,Conductor,
Nylon-glass filed,,,,,,,,,,Nylon-glass filed,,,,Conductor,
Nylon-polycaprolactam,,,,,,,,,,Nylon-polycaprolactam,,,,Conductor,
Oxygen,,,,,,,,,,Oxygen,,,,Conductor,
Oxygen(@300k),,,,,,,,,,Oxygen(@300k),,,,Conductor,
PVC plastic,,,,,,,,,,PVC plastic,,,,Conductor,
Pad_material,,,,,,,,,,Pad_material,,,,Conductor,
Pb_Sn solder,35.8,,130,,11020,,,,,Pb_Sn solder,,,,Conductor,
Phenol Resin-JSME,,,,,,,,,,Phenol Resin-JSME,,,,Conductor,
Plastic,,,,,,,,,,Plastic,,,,Conductor,
Polycarbonate-JSME,,,,,,,,,,Polycarbonate-JSME,,,,Conductor,
Polyethylene Resin-JSME,,,,,,,,,,Polyethylene Resin-JSME,,,,Conductor,
Polyflon Copper-Clad ULTEM (tm),,,,,,,,3.05,,Polyflon Copper-Clad ULTEM (tm),,,,Conductor,
Polyflon CuFlon (tm),,,,,,,,2.1,,Polyflon CuFlon (tm),,,,Conductor,
Polyflon Polyguide (tm),,,,,,,,2.32,,Polyflon Polyguide (tm),,,,Conductor,
Polyflon_NorCLAD (tm),,,,,,,,2.55,,Polyflon_NorCLAD (tm),,,,Conductor,
Polypropylene-JSME,,,,,,,,,,Polypropylene-JSME,,,,Conductor,
Polystyrene-JSME,,,,,,,,,,Polystyrene-JSME,,,,Conductor,
Polystyrene-Typical,,,,,,,,,,Polystyrene-Typical,,,,Conductor,
Polystyrene-rigid-R12,,,,,,,,,,Polystyrene-rigid-R12,,,,Conductor,
Pt-Typical,,,,,,,,,,Pt-Typical,,,,Conductor,
Pt-Typical_Ref,,,,,,,,,,Pt-Typical_Ref,,,,Conductor,
Rogers RO3003 (tm),,,,,,,,3,,Rogers RO3003 (tm),,,,Conductor,
Rogers RO3006 (tm),,,,,,,,6.15,,Rogers RO3006 (tm),,,,Conductor,
Rogers RO3010 (tm),,,,,,,,10.2,,Rogers RO3010 (tm),,,,Conductor,
Rogers RO3203 (tm),,,,,,,,3.02,,Rogers RO3203 (tm),,,,Conductor,
Rogers RO3210 (tm),,,,,,,,10.2,,Rogers RO3210 (tm),,,,Conductor,
Rogers RO4003 (tm),,,,,,,,3.55,,Rogers RO4003 (tm),,,,Conductor,
Rogers RO4232 (tm),,,,,,,,3.2,,Rogers RO4232 (tm),,,,Conductor,
Rogers RO4350 (tm),,,,,,,,3.66,,Rogers RO4350 (tm),,,,Conductor,
